Scrapping Topic,Wikipedia Scrapping Topic link
Archive.today,https://en.wikipedia.org/wiki/Archive.today
Comparison of feed aggregators,https://en.wikipedia.org/wiki/Comparison_of_feed_aggregators
Data scraping,https://en.wikipedia.org/wiki/Data_scraping
Data wrangling,https://en.wikipedia.org/wiki/Data_wrangling
Importer,https://en.wikipedia.org/wiki/Importer_(computing)
Job wrapping,https://en.wikipedia.org/wiki/Job_wrapping
Knowledge extraction,https://en.wikipedia.org/wiki/Knowledge_extraction
OpenSocial,https://en.wikipedia.org/wiki/OpenSocial
Scraper site,https://en.wikipedia.org/wiki/Scraper_site
Fake news website,https://en.wikipedia.org/wiki/Fake_news_website
Blog scraping,https://en.wikipedia.org/wiki/Blog_scraping
Spamdexing,https://en.wikipedia.org/wiki/Spamdexing
Domain name drop list,https://en.wikipedia.org/wiki/Domain_name_drop_list
Text corpus,https://en.wikipedia.org/wiki/Text_corpus
Web archiving,https://en.wikipedia.org/wiki/Web_archiving
Web crawler,https://en.wikipedia.org/wiki/Web_crawler
Offline reader,https://en.wikipedia.org/wiki/Offline_reader
Link farm,https://en.wikipedia.org/wiki/Link_farm
Search engine scraping,https://en.wikipedia.org/wiki/Search_engine_scraping
Web crawlers,https://en.wikipedia.org/wiki/Category:Web_crawlers
